,Placebo_A_461K_BV3D21,Placebo_A_466Y_YV3D21,Placebo_A_564P_MV3D21,Placebo_A_661R_BV3D21,Placebo_A_665S_JV3D21
Streptococcus_gordonii_str_Challis_substr_CH1_gal,0,0.81664,0,0,0
Streptococcus_gordonii_str_Challis_substr_CH1_ppa,0,0.81664,0,0,0
Streptococcus_infantis_ATCC_700779_ac,0,6.2812,0,0,0
Streptococcus_infantis_ATCC_700779_gal,0,3.1406,0,0,0
Streptococcus_infantis_ATCC_700779_ppa,0,3.1406,0,0,0
Streptococcus_mitis_NCTC_12261_ac,0,5.806,0,0,0
Streptococcus_mitis_NCTC_12261_gal,0,2.903,0,0,0
Streptococcus_mitis_NCTC_12261_mantr,0,0,0,0,0
Streptococcus_mitis_NCTC_12261_ppa,0,2.903,0,0,0
Streptococcus_oralis_Uo5_ac,0,8.8384,0,0,0
Streptococcus_oralis_Uo5_gal,0,4.4192,0,0,0
Streptococcus_oralis_Uo5_mantr,0,0,0,0,0
Streptococcus_oralis_Uo5_ppa,0,4.4192,0,0,0
Streptococcus_parasanguinis_ATCC_903_ac,0,117.192,3.7869,0,0.89138
Streptococcus_parasanguinis_ATCC_903_gal,0,5.0943,1.8936,0,0.44572
Streptococcus_parasanguinis_ATCC_903_mantr,0,0,0,0,0
Streptococcus_parasanguinis_ATCC_903_ppa,0,58.6,1.8936,0,0.44572
Streptococcus_peroris_ATCC_700780_ac,0,1.3498,0,0,0
Streptococcus_peroris_ATCC_700780_gal,0,0.67488,0,0,0
Streptococcus_peroris_ATCC_700780_ppa,0,0.67488,0,0,0
Streptococcus_pseudopneumoniae_IS7493_ac,0,2.978,0,0,0
Streptococcus_pseudopneumoniae_IS7493_gal,0,1.489,0,0,0
Streptococcus_pseudopneumoniae_IS7493_ppa,0,1.489,0,0,0
Streptococcus_sanguinis_SK36_ac,0,1.1878,0,0,0
Streptococcus_sanguinis_SK36_gal,0,0.59388,0,0,0
Streptococcus_sanguinis_SK36_mantr,0,0,0,0,0
Streptococcus_sanguinis_SK36_ppa,0,0.59388,0,0,0
Streptococcus_sp_2_1_36FAA_ac,0,5.6495,0,0,0
Streptococcus_sp_2_1_36FAA_gal,0,2.8253,0,0,0
Streptococcus_sp_I_G2_ac,0,8.7721,0,0,0
Streptococcus_sp_I_G2_gal,0,4.3864,0,0,0
Streptococcus_sp_I_G2_mantr,0,0,0,0,0
Streptococcus_sp_I_P16_ac,0,11.1175,0,0,0
Streptococcus_sp_I_P16_mantr,0,0,0,0,0
Streptococcus_thermophilus_LMG_18311_ac,0,14.084,0,0,0
Streptococcus_vestibularis_F0396_ac,0,68.4344,1.0382,0.90488,0
Streptococcus_vestibularis_F0396_gal,0,5.0943,0.51912,0.45244,0
Streptococcus_vestibularis_F0396_ppa,0,34.2172,0.51912,0.45244,0
Actinomyces_turicensis_ACS_279_V_Col4_ac,0,0,1.8456,0,0
Actinomyces_turicensis_ACS_279_V_Col4_ppa,0,0,0.9228,0,0
Bifidobacterium_dentium_ATCC_27678_ac,0,0,2.2859,0,0
Bifidobacterium_dentium_ATCC_27678_gal,0,0,1.243,0,0
Bifidobacterium_dentium_ATCC_27678_mantr,0,0,0,0,0
Bifidobacterium_dentium_ATCC_27678_melib,0,0,0.1,0,0
Clostridium_hathewayi_12489931_ac,0,0,2.5912,0,0
Clostridium_hathewayi_12489931_gal,0,0,1.2956,0,0
Clostridium_hathewayi_12489931_melib,0,0,0.1,0,0
Clostridium_hathewayi_12489931_ppa,0,0,0,0,0
Collinsella_tanakaei_YIT_12063_ac,0,0,4.625,0,0
Collinsella_tanakaei_YIT_12063_gal,0,0,2.3125,0,0
Collinsella_tanakaei_YIT_12063_ppa,0,0,2.3125,0,0
Streptococcus_equinus_ATCC_9812_ac,0,0,0.92805,0,0
Streptococcus_equinus_ATCC_9812_gal,0,0,0.44223,0,0
Streptococcus_equinus_ATCC_9812_mantr,0,0,0,0,0
Streptococcus_gallolyticus_subsp_gallolyticus_ATCC_43143_ac,0,0,0.80224,0,0
Streptococcus_gallolyticus_subsp_gallolyticus_ATCC_43143_gal,0,0,0.40112,0,0
Streptococcus_gallolyticus_subsp_gallolyticus_ATCC_43143_ppa,0,0,0.40112,0,0
Streptococcus_infantarius_subsp_infantarius_ATCC_BAA_102_ac,0,0,15.803,0,0
Streptococcus_infantarius_subsp_infantarius_ATCC_BAA_102_gal,0,0,5.1,0,0
Streptococcus_infantarius_subsp_infantarius_ATCC_BAA_102_mantr,0,0,0,0,0
Streptococcus_infantarius_subsp_infantarius_ATCC_BAA_102_melib,0,0,0.1,0,0
Weissella_confusa_LBAE_C39_2_ac,0,0,22.9144,0,0
Weissella_confusa_LBAE_C39_2_gal,0,0,5.1,0,0
Akkermansia_muciniphila_ATCC_BAA_835_ac,0,0,0,9.1529,0.96979
Akkermansia_muciniphila_ATCC_BAA_835_gal,0,0,0,4.5816,0.48544
Akkermansia_muciniphila_ATCC_BAA_835_ppa,0,0,0,4.5816,0.48544
Clostridium_asparagiforme_DSM_15981_ac,0,0,0,1.7063,0
Clostridium_asparagiforme_DSM_15981_gal,0,0,0,0.8532,0
Clostridium_asparagiforme_DSM_15981_mantr,0,0,0,0,0
Clostridium_symbiosum_WAL_14163_ac,0,0,0,1.1483,0
Clostridium_symbiosum_WAL_14163_but,0,0,0,0.57416,0
Clostridium_symbiosum_WAL_14163_gal,0,0,0,0,0
Coprobacillus_sp_29_1_ac,0,0,0,2.1834,0
Coprobacillus_sp_29_1_but,0,0,0,1.0917,0
Coprobacillus_sp_29_1_isobut,0,0,0,1.0917,0
Coprococcus_eutactus_ATCC_27759_ac,0,0,0,1.1438,0
Coprococcus_eutactus_ATCC_27759_but,0,0,0,1.1438,0
Coprococcus_eutactus_ATCC_27759_gal,0,0,0,0.54553,0
Coprococcus_eutactus_ATCC_27759_mantr,0,0,0,0,0
Coprococcus_eutactus_ATCC_27759_melib,0,0,0,0.1,0
Coprococcus_eutactus_ATCC_27759_ppa,0,0,0,0.57192,0
Erysipelotrichaceae_bacterium_5_2_54FAA_ac,0,0,0,0.846,0
Erysipelotrichaceae_bacterium_5_2_54FAA_but,0,0,0,0.423,0
Eubacterium_siraeum_70_3_ac,0,0,0,1.7695,0
Eubacterium_siraeum_70_3_but,0,0,0,0.88476,0
Megasphaera_elsdenii_DSM_20460_ac,0,0,0,3.089,0
Megasphaera_elsdenii_DSM_20460_but,0,0,0,1.5445,0
Megasphaera_elsdenii_DSM_20460_gal,0,0,0,0,0
Megasphaera_elsdenii_DSM_20460_isobut,0,0,0,1.5445,0
Megasphaera_elsdenii_DSM_20460_melib,0,0,0,0,0
Megasphaera_elsdenii_DSM_20460_ppa,0,0,0,1.5445,0
Prevotella_copri_CB7_DSM_18205_ac,0,0,0,4.6756,2.0752
Prevotella_copri_CB7_DSM_18205_mantr,0,0,0,0,0
Prevotella_copri_CB7_DSM_18205_ppa,0,0,0,2.3378,1.0376
Enterobacter_aerogenes_KCTC_2190_ac,0,0,0,0,1.4412
Enterobacter_aerogenes_KCTC_2190_gal,0,0,0,0,0.8206
Enterobacter_aerogenes_KCTC_2190_melib,0,0,0,0,0.1
Enterobacter_aerogenes_KCTC_2190_ppa,0,0,0,0,0.7206
Escherichia_fergusonii_ATCC_35469_ac,0,0,0,0,4.2976
Escherichia_fergusonii_ATCC_35469_but,0,0,0,0,2.1488
Escherichia_fergusonii_ATCC_35469_gal,0,0,0,0,2.1488
Escherichia_fergusonii_ATCC_35469_ppa,0,0,0,0,4.2976
Fusobacterium_mortiferum_ATCC_9817_ac,0,0,0,0,2.7518
Fusobacterium_mortiferum_ATCC_9817_but,0,0,0,0,2.7518
Fusobacterium_mortiferum_ATCC_9817_gal,0,0,0,0,0.68229
Fusobacterium_mortiferum_ATCC_9817_mantr,0,0,0,0,0
Fusobacterium_mortiferum_ATCC_9817_melib,0,0,0,0,0.1
Fusobacterium_mortiferum_ATCC_9817_ppa,0,0,0,0,1.3759
Megamonas_funiformis_YIT_11815_ac,0,0,0,0,1.2782
Megamonas_funiformis_YIT_11815_gal,0,0,0,0,0.73916
Megamonas_funiformis_YIT_11815_melib,0,0,0,0,0.1
Megamonas_funiformis_YIT_11815_ppa,0,0,0,0,0.63916
Megamonas_hypermegale_ART12_1_ac,0,0,0,0,2.2118
Megamonas_hypermegale_ART12_1_gal,0,0,0,0,1.2059
Megamonas_hypermegale_ART12_1_mantr,0,0,0,0,0
Megamonas_hypermegale_ART12_1_melib,0,0,0,0,0.1
Megamonas_hypermegale_ART12_1_ppa,0,0,0,0,1.1059
