,prebiotic_A_464S_WV3D21,prebiotic_A_465N_LV3D21,prebiotic_A_565K_UV3D21,prebiotic_A_662W_TV3D21,prebiotic_A_666J_PV3D21
Eubacterium_siraeum_70_3_ac,0,1.292,1.8095,1.1413,1.097
Eubacterium_siraeum_70_3_but,0,0.646,0.90476,0.57064,0.54852
Eubacterium_siraeum_DSM_15702_ac,0,1.0314,0,0.97864,0.916
Eubacterium_siraeum_DSM_15702_but,0,0.51572,0,0.48932,0.458
Eubacterium_ventriosum_ATCC_27560_ac,0,1.0471,8.1808,3.5574,0.82528
Eubacterium_ventriosum_ATCC_27560_but,0,1.0421,8.1406,3.5404,0.82134
Eubacterium_ventriosum_ATCC_27560_gal,0,1e-08,0,0,1e-08
Haemophilus_parainfluenzae_T3T1_ac,0,2.1495,0,0,0
Haemophilus_parainfluenzae_T3T1_gal,0,1.0748,0,0,0
Haemophilus_parainfluenzae_T3T1_ppa,0,1.0748,0,0,0
Klebsiella_pneumoniae_pneumoniae_MGH78578_ac,0,23.564,0,18.9264,86.296
Klebsiella_pneumoniae_pneumoniae_MGH78578_gal,0,10.4145,0,14.6718,15.414
Klebsiella_pneumoniae_pneumoniae_MGH78578_mantr,0,2.5543,0,2.5543,2.5543
Klebsiella_pneumoniae_pneumoniae_MGH78578_melib,0,5.2086,0,5.2086,5.2086
Klebsiella_sp_1_1_55_ac,0,1.9895,0,4.2704,23.0656
Klebsiella_sp_1_1_55_gal,0,1.9895,0,4.2704,15.414
Klebsiella_sp_1_1_55_mantr,0,0.99476,0,2.1352,2.5543
Klebsiella_sp_1_1_55_melib,0,1.9895,0,4.2704,5.2086
Methanobrevibacter_smithii_ATCC_35061_ac,0,1.2155,0,0,0
Roseburia_intestinalis_L1_82_ac,0,1.6702,2.4958,2.7682,1.5047
Roseburia_intestinalis_L1_82_but,0,0.83508,1.2479,1.3841,0.75236
Roseburia_intestinalis_L1_82_gal,0,0.83508,1.2479,1.3841,0.75236
Roseburia_intestinalis_L1_82_mantr,0,0.83508,1.2479,1.3841,0.75236
Roseburia_intestinalis_L1_82_melib,0,1.4582,2.1778,2.4152,1.314
Ruminococcus_bromii_L2_63_ac,0,31.112,1.7166,43.264,2.0084
Ruminococcus_bromii_L2_63_gal,0,0,0,0,0
Ruminococcus_bromii_L2_63_melib,0,0,0,0,0
Ruminococcus_chamellensis_18P13_ac,0,0.8736,1.7294,1.2406,0
Ruminococcus_chamellensis_18P13_gal,0,0.13572,0.26519,0.19124,0
Ruminococcus_chamellensis_18P13_mantr,0,0.073081,0.14279,0.10298,0
Ruminococcus_lactaris_ATCC_29176_ac,0,1.2591,4.3577,2.4423,2.4943
Ruminococcus_lactaris_ATCC_29176_but,0,0,0,0,0
Ruminococcus_lactaris_ATCC_29176_gal,0,0.54357,1.8047,1.0544,1.0768
Streptococcus_infantarius_subsp_infantarius_ATCC_BAA_102_ac,0,1.1506,0,0,0
Streptococcus_infantarius_subsp_infantarius_ATCC_BAA_102_gal,0,0.57536,0,0,0
Streptococcus_infantarius_subsp_infantarius_ATCC_BAA_102_mantr,0,0.23265,0,0,0
Streptococcus_infantarius_subsp_infantarius_ATCC_BAA_102_melib,0,0.33612,0,0,0
Weissella_confusa_LBAE_C39_2_ac,0,2.2392,0,0,0
Weissella_confusa_LBAE_C39_2_gal,0,1.1196,0,0,0
Akkermansia_muciniphila_ATCC_BAA_835_ac,0,0,14.1425,0,12.5987
Akkermansia_muciniphila_ATCC_BAA_835_gal,0,0,5,0,5
Akkermansia_muciniphila_ATCC_BAA_835_ppa,0,0,7.0792,0,6.3064
Alistipes_finegoldii_DSM_17242_ac,0,0,4.1041,0,0
Alistipes_finegoldii_DSM_17242_gal,0,0,2.0522,0,0
Alistipes_finegoldii_DSM_17242_mantr,0,0,1.0261,0,0
Alistipes_finegoldii_DSM_17242_ppa,0,0,0,0,0
Alistipes_indistinctus_YIT_12060_ac,0,0,1.4194,0,0
Alistipes_onderdonkii_DSM_19147_ac,0,0,0.92402,0.66682,0
Alistipes_onderdonkii_DSM_19147_mantr,0,0,0.4582,0.33066,0
Alistipes_onderdonkii_DSM_19147_ppa,0,0,0,0,0
Alistipes_shahii_WAL_8301_ac,0,0,1.0459,0,0
Alistipes_shahii_WAL_8301_mantr,0,0,0.52102,0,0
Alistipes_shahii_WAL_8301_ppa,0,0,0,0,0
Anaerotruncus_colihominis_DSM_17241_ac,0,0,5.1032,1.8426,0.89024
Anaerotruncus_colihominis_DSM_17241_but,0,0,5.1032,1.8426,0.89024
Anaerotruncus_colihominis_DSM_17241_gal,0,0,2.0847,0.75269,0.36367
Bacteroides_caccae_ATCC_43185_ac,0,0,3.4532,0,0
Bacteroides_caccae_ATCC_43185_gal,0,0,3.4532,0,0
Bacteroides_caccae_ATCC_43185_mantr,0,0,0.86328,0,0
Bacteroides_caccae_ATCC_43185_melib,0,0,1.7266,0,0
Bacteroides_caccae_ATCC_43185_ppa,0,0,1.7266,0,0
Bacteroides_coprocola_M16_DSM_17136_ac,0,0,1.5154,0,0
Bacteroides_coprocola_M16_DSM_17136_isobut,0,0,0.75772,0,0
Bacteroides_coprocola_M16_DSM_17136_mantr,0,0,0.26113,0,0
Bacteroides_coprocola_M16_DSM_17136_ppa,0,0,0.75772,0,0
Bacteroides_coprophilus_DSM_18228_ac,0,0,4.0692,2.0288,0
Bacteroides_coprophilus_DSM_18228_isobut,0,0,2.0346,1.0144,0
Bacteroides_coprophilus_DSM_18228_mantr,0,0,1.0173,0.50718,0
Bacteroides_coprophilus_DSM_18228_ppa,0,0,2.0346,1.0144,0
Bacteroides_intestinalis_341_DSM_17393_ac,0,0,5.6736,0,0
Bacteroides_intestinalis_341_DSM_17393_gal,0,0,2.8368,0,0
Bacteroides_intestinalis_341_DSM_17393_isobut,0,0,2.8368,0,0
Bacteroides_intestinalis_341_DSM_17393_mantr,0,0,1.4184,0,0
Bacteroides_intestinalis_341_DSM_17393_ppa,0,0,2.8368,0,0
Bacteroides_massiliensis_B846dnLKV334_ac,0,0,1.3388,0,0
Bacteroides_massiliensis_B846dnLKV334_ppa,0,0,0.6694,0,0
Bacteroides_plebeius_M12_DSM_17135_ac,0,0,5.7608,0,0
Bacteroides_plebeius_M12_DSM_17135_isobut,0,0,2.8804,0,0
Bacteroides_plebeius_M12_DSM_17135_mantr,0,0,1.4402,0,0
Bacteroides_plebeius_M12_DSM_17135_ppa,0,0,2.8804,0,0
Bacteroides_sp_3_1_33FAA_ac,0,0,0.81488,0,0
Bacteroides_sp_3_1_33FAA_gal,0,0,0.40744,0,0
Bacteroides_sp_3_1_33FAA_isobut,0,0,0.40744,0,0
Bacteroides_sp_3_1_33FAA_mantr,0,0,0.20372,0,0
Bacteroides_sp_3_1_33FAA_ppa,0,0,0.40744,0,0
Bacteroides_sp_3_1_40A_ac,0,0,2.2832,0,0
Bacteroides_sp_3_1_40A_isobut,0,0,1.1416,0,0
Bacteroides_sp_3_1_40A_ppa,0,0,1.1416,0,0
Bacteroides_sp_4_1_36_ac,0,0,3.6186,0,0
Bacteroides_sp_4_1_36_gal,0,0,1.8093,0,0
Bacteroides_sp_4_1_36_isobut,0,0,1.8093,0,0
Bacteroides_sp_4_1_36_mantr,0,0,0.90464,0,0
Bacteroides_sp_4_1_36_ppa,0,0,1.8093,0,0
Bacteroides_sp_4_3_47FAA_ac,0,0,2.0044,0,0
Bacteroides_sp_4_3_47FAA_isobut,0,0,1.0022,0,0
Bacteroides_sp_4_3_47FAA_ppa,0,0,1.0022,0,0
Bacteroides_sp_D20_ac,0,0,3.6638,0,0
Bacteroides_sp_D20_gal,0,0,1.8319,0,0
Bacteroides_sp_D20_isobut,0,0,1.8319,0,0
Bacteroides_sp_D20_mantr,0,0,0.91596,0,0
Bacteroides_sp_D20_ppa,0,0,1.8319,0,0
Bacteroides_stercoris_ATCC_43183_ac,0,0,1.7733,0,0
Bacteroides_stercoris_ATCC_43183_isobut,0,0,0.88664,0,0
Bacteroides_stercoris_ATCC_43183_mantr,0,0,0.44332,0,0
Bacteroides_stercoris_ATCC_43183_ppa,0,0,0.88664,0,0
Bacteroides_uniformis_ATCC_8492_ac,0,0,3.2574,0,0
Bacteroides_uniformis_ATCC_8492_gal,0,0,3.2574,0,0
Bacteroides_uniformis_ATCC_8492_isobut,0,0,1.6287,0,0
Bacteroides_uniformis_ATCC_8492_mantr,0,0,1.6287,0,0
Bacteroides_uniformis_ATCC_8492_melib,0,0,1.6287,0,0
Bacteroides_uniformis_ATCC_8492_ppa,0,0,1.6287,0,0
Bacteroides_vulgatus_ATCC_8482_ac,0,0,2.527,0,0
Bacteroides_vulgatus_ATCC_8482_gal,0,0,2.527,0,0
Bacteroides_vulgatus_ATCC_8482_isobut,0,0,1.2635,0,0
Bacteroides_vulgatus_ATCC_8482_mantr,0,0,1.2635,0,0
Bacteroides_vulgatus_ATCC_8482_melib,0,0,1.2635,0,0
Bacteroides_vulgatus_ATCC_8482_ppa,0,0,1.2635,0,0
Bifidobacterium_angulatum_DSM_20098_ac,0,0,2.5004,0,0
Bifidobacterium_angulatum_DSM_20098_gal,0,0,2.5004,0,0
Bifidobacterium_angulatum_DSM_20098_mantr,0,0,1.2502,0,0
Bifidobacterium_angulatum_DSM_20098_melib,0,0,1.2502,0,0
Butyricicoccus_pullicaecorum_1_2_ac,0,0,0.8672,0,0
Butyricicoccus_pullicaecorum_1_2_but,0,0,0.4336,0,0
Butyricicoccus_pullicaecorum_1_2_gal,0,0,0.00033479,0,0
Butyricicoccus_pullicaecorum_1_2_ppa,0,0,0.4336,0,0
Catenibacterium_mitsuokai_DSM_15897_ac,0,0,28.7888,0,0
Catenibacterium_mitsuokai_DSM_15897_but,0,0,14.3944,0,0
Catenibacterium_mitsuokai_DSM_15897_gal,0,0,10.1895,0,0
Catenibacterium_mitsuokai_DSM_15897_isobut,0,0,14.3944,0,0
Catenibacterium_mitsuokai_DSM_15897_mantr,0,0,2.5543,0,0
Catenibacterium_mitsuokai_DSM_15897_melib,0,0,5.2086,0,0
Clostridium_asparagiforme_DSM_15981_ac,0,0,1.0825,1.6574,0
Clostridium_asparagiforme_DSM_15981_gal,0,0,0.54128,0.82876,0
Clostridium_asparagiforme_DSM_15981_mantr,0,0,0.27064,0.41438,0
Clostridium_leptum_DSM_753_ac,0,0,3.3679,39.563,0
Clostridium_leptum_DSM_753_gal,0,0,0,0,0
Clostridium_methylpentosum_R2_DSM_5476_ac,0,0,0.92912,1.5334,0
Clostridium_methylpentosum_R2_DSM_5476_ppa,0,0,0.46423,0.76668,0
Clostridium_scindens_ATCC_35704_ac,0,0,0.82904,0,0
Clostridium_scindens_ATCC_35704_gal,0,0,0.41452,0,0
Clostridium_sporosphaeroides_DSM_1294_ac,0,0,0.89784,0,0
Clostridium_sporosphaeroides_DSM_1294_but,0,0,0.89784,0,0
Clostridium_sporosphaeroides_DSM_1294_ppa,0,0,0.44892,0,0
Clostridium_symbiosum_WAL_14163_ac,0,0,1.0682,2.132,0
Clostridium_symbiosum_WAL_14163_but,0,0,0.53412,1.066,0
Clostridium_symbiosum_WAL_14163_gal,0,0,0,0,0
Clostridium_symbiosum_WAL_14673_ac,0,0,0.90624,1.1717,0
Clostridium_symbiosum_WAL_14673_but,0,0,0.45312,0.58584,0
Clostridium_symbiosum_WAL_14673_gal,0,0,0,0,0
Coprococcus_eutactus_ATCC_27759_ac,0,0,5.9886,0.99448,0
Coprococcus_eutactus_ATCC_27759_but,0,0,5.9886,0.99448,0
Coprococcus_eutactus_ATCC_27759_gal,0,0,2.8407,0.47478,0
Coprococcus_eutactus_ATCC_27759_mantr,0,0,2.5543,0.49281,0
Coprococcus_eutactus_ATCC_27759_melib,0,0,4.1832,0.76506,0
Coprococcus_eutactus_ATCC_27759_ppa,0,0,2.9943,0.49724,0
Dialister_succinatiphilus_YIT_11850_ac,0,0,2.6252,0,1.5729
Dialister_succinatiphilus_YIT_11850_ppa,0,0,1.3127,0,0.78648
Gordonibacter_pamelaeae_7_10_1_bT_DSM_19378_ac,0,0,0.80008,0.88392,0
Holdemania_filiformis_VPI_J1_31B_1_DSM_12042_ac,0,0,2.2736,1.9612,1.2541
Holdemania_filiformis_VPI_J1_31B_1_DSM_12042_gal,0,0,0,0,0
Marvinbryantia_formatexigens_I_52_DSM_14469_ac,0,0,0.94096,1.1311,0
Marvinbryantia_formatexigens_I_52_DSM_14469_gal,0,0,0.36319,0.43658,0
Marvinbryantia_formatexigens_I_52_DSM_14469_mantr,0,0,0.13381,0.16085,0
Parabacteroides_merdae_ATCC_43184_ac,0,0,0.98448,2.2802,0
Parabacteroides_merdae_ATCC_43184_acmana,0,0,0.59224,1.2401,0
Parabacteroides_merdae_ATCC_43184_gal,0,0,0.49224,1.1401,0
Parabacteroides_merdae_ATCC_43184_isobut,0,0,0.49224,1.1401,0
Parabacteroides_merdae_ATCC_43184_mantr,0,0,0.24612,0.57006,0
Parabacteroides_merdae_ATCC_43184_melib,0,0,0.49224,1.1401,0
Parabacteroides_merdae_ATCC_43184_ppa,0,0,0.49224,1.1401,0
Paraprevotella_clara_YIT_11840_ac,0,0,6.0742,0,0
Paraprevotella_clara_YIT_11840_gal,0,0,3.0371,0,0
Paraprevotella_clara_YIT_11840_ppa,0,0,3.0371,0,0
Paraprevotella_xylaniphila_YIT_11841_ac,0,0,1.4142,0,0
Paraprevotella_xylaniphila_YIT_11841_gal,0,0,0.70712,0,0
Paraprevotella_xylaniphila_YIT_11841_ppa,0,0,0.70712,0,0
Prevotella_copri_CB7_DSM_18205_ac,0,0,2.0564,3.8844,0
Prevotella_copri_CB7_DSM_18205_mantr,0,0,0.5141,0.94064,0
Prevotella_copri_CB7_DSM_18205_ppa,0,0,1.0282,1.9422,0
Propionibacterium_jensenii_DSM_20535_ac,0,0,2.0624,0,0
Propionibacterium_jensenii_DSM_20535_gal,0,0,1.0312,0,0
Propionibacterium_jensenii_DSM_20535_melib,0,0,1.0312,0,0
Propionibacterium_jensenii_DSM_20535_ppa,0,0,2.0624,0,0
Pseudoflavonifractor_capillosus_strain_ATCC_29799_ac,0,0,4.472,4.4136,1.9734
Pseudoflavonifractor_capillosus_strain_ATCC_29799_gal,0,0,1.8492,1.825,0.81598
Pseudomonas_monteilii_NBRC_103158_ac,0,0,0.88072,0,0
Pseudomonas_monteilii_NBRC_103158_but,0,0,0.44036,0,0
Pseudomonas_monteilii_NBRC_103158_isobut,0,0,0.44036,0,0
Pseudomonas_monteilii_NBRC_103158_ppa,0,0,0.44036,0,0
Ruminococcus_bicirculans_80_3_ac,0,0,25.972,2.4398,0.94728
Ruminococcus_bicirculans_80_3_gal,0,0,0.010027,0.00094191,0.0003657
Ruminococcus_bicirculans_80_3_mantr,0,0,0.0050133,0.00047095,0.00018285
Ruminococcus_torques_ATCC_27756_ac,0,0,0.87952,0,0
Ruminococcus_torques_ATCC_27756_gal,0,0,0.87952,0,0
Ruminococcus_torques_ATCC_27756_mantr,0,0,0.21988,0,0
Ruminococcus_torques_ATCC_27756_ppa,0,0,0.43976,0,0
Blautia_hydrogenotrophica_DSM_10507_ac,0,0,0,1.6948,0
Blautia_hydrogenotrophica_DSM_10507_gal,0,0,0,0.8474,0
Blautia_hydrogenotrophica_DSM_10507_isobut,0,0,0,0.8474,0
Citrobacter_koseri_ATCC_BAA_895_ac,0,0,0,5.8436,0
Citrobacter_koseri_ATCC_BAA_895_but,0,0,0,2.9218,0
Citrobacter_koseri_ATCC_BAA_895_gal,0,0,0,2.9218,0
Citrobacter_koseri_ATCC_BAA_895_ppa,0,0,0,5.8436,0
Desulfovibrio_piger_ATCC_29098_ac,0,0,0,1.0736,0
Enterobacter_hormaechei_YT2_ac,0,0,0,1.2178,34.2056
Enterobacter_hormaechei_YT2_gal,0,0,0,1.2178,12.8597
Enterobacter_hormaechei_YT2_melib,0,0,0,0.60888,2.6543
Enterobacter_hormaechei_YT2_ppa,0,0,0,0.60888,17.1028
Eubacterium_dolichum_DSM_3991_ac,0,0,0,2.7108,0
Eubacterium_dolichum_DSM_3991_but,0,0,0,1.3554,0
Roseomonas_mucosa_ATCC_BAA_692_ac,0,0,0,1.2349,34.5272
Roseomonas_mucosa_ATCC_BAA_692_but,0,0,0,0,0
Roseomonas_mucosa_ATCC_BAA_692_melib,0,0,0,0.52211,2.6543
Roseomonas_mucosa_ATCC_BAA_692_ppa,0,0,0,0.00010661,0.00010598
Citrobacter_freundii_ATCC_8090_ac,0,0,0,0,0.85528
Citrobacter_freundii_ATCC_8090_but,0,0,0,0,0.42764
Citrobacter_freundii_ATCC_8090_gal,0,0,0,0,0.85528
Citrobacter_freundii_ATCC_8090_melib,0,0,0,0,0.42764
Citrobacter_freundii_ATCC_8090_ppa,0,0,0,0,0.85528
Citrobacter_sp_30_2_ac,0,0,0,0,1.4215
Citrobacter_sp_30_2_but,0,0,0,0,0.71076
Citrobacter_sp_30_2_gal,0,0,0,0,1.4215
Citrobacter_sp_30_2_mantr,0,0,0,0,0.71076
Citrobacter_sp_30_2_melib,0,0,0,0,1.4215
Citrobacter_sp_30_2_ppa,0,0,0,0,1.4215
Citrobacter_youngae_ATCC_29220_ac,0,0,0,0,1.1385
Citrobacter_youngae_ATCC_29220_but,0,0,0,0,0.56924
Citrobacter_youngae_ATCC_29220_gal,0,0,0,0,1.1385
Citrobacter_youngae_ATCC_29220_mantr,0,0,0,0,0.56924
Citrobacter_youngae_ATCC_29220_melib,0,0,0,0,1.1385
Citrobacter_youngae_ATCC_29220_ppa,0,0,0,0,1.1385
Clostridium_symbiosum_ATCC_14940_ac,0,0,0,0,1.6905
Clostridium_symbiosum_ATCC_14940_but,0,0,0,0,0.84524
Clostridium_symbiosum_ATCC_14940_gal,0,0,0,0,0.84524
Clostridium_symbiosum_ATCC_14940_ppa,0,0,0,0,0.84495
Eggerthella_lenta_DSM_2243_ac,0,0,0,0,1.3514
Enterobacter_aerogenes_KCTC_2190_ac,0,0,0,0,3.0268
Enterobacter_aerogenes_KCTC_2190_gal,0,0,0,0,3.0268
Enterobacter_aerogenes_KCTC_2190_melib,0,0,0,0,1.5134
Enterobacter_aerogenes_KCTC_2190_ppa,0,0,0,0,1.5134
Enterobacter_cancerogenus_ATCC_35316_ac,0,0,0,0,2.2892
Enterobacter_cancerogenus_ATCC_35316_gal,0,0,0,0,2.2892
Enterobacter_cancerogenus_ATCC_35316_melib,0,0,0,0,1.1446
Enterobacter_cloacae_EcWSU1_ac,0,0,0,0,1.6695
Enterobacter_cloacae_EcWSU1_gal,0,0,0,0,1.6695
Enterobacter_cloacae_EcWSU1_melib,0,0,0,0,0.83476
Enterobacter_cloacae_EcWSU1_ppa,0,0,0,0,0.83476
Mitsuokella_multacida_DSM_20544_ac,0,0,0,0,1.5856
Mitsuokella_multacida_DSM_20544_gal,0,0,0,0,1.5856
Mitsuokella_multacida_DSM_20544_mantr,0,0,0,0,0.56474
Mitsuokella_multacida_DSM_20544_melib,0,0,0,0,0.7928
Salmonella_enterica_enterica_sv_Typhimurium_LT2_ac,0,0,0,0,1.039
Salmonella_enterica_enterica_sv_Typhimurium_LT2_but,0,0,0,0,0.51952
Salmonella_enterica_enterica_sv_Typhimurium_LT2_gal,0,0,0,0,1.039
Salmonella_enterica_enterica_sv_Typhimurium_LT2_mantr,0,0,0,0,0.51952
Salmonella_enterica_enterica_sv_Typhimurium_LT2_melib,0,0,0,0,1.039
Salmonella_enterica_enterica_sv_Typhimurium_LT2_ppa,0,0,0,0,1.039
