,prebiotic_A_464S_WV3D21,prebiotic_A_465N_LV3D21,prebiotic_A_565K_UV3D21,prebiotic_A_662W_TV3D21,prebiotic_A_666J_PV3D21
Bacteroides_uniformis_ATCC_8492_melib,0,0,1.6287,0,0
Bacteroides_vulgatus_ATCC_8482_ac,0,0,1.2635,0,0
Bacteroides_vulgatus_ATCC_8482_gal,0,0,1.2635,0,0
Bacteroides_vulgatus_ATCC_8482_mantr,0,0,1.2635,0,0
Bacteroides_vulgatus_ATCC_8482_melib,0,0,1.2635,0,0
Bifidobacterium_angulatum_DSM_20098_ac,0,0,1.2502,0,0
Bifidobacterium_angulatum_DSM_20098_gal,0,0,1.2502,0,0
Bifidobacterium_angulatum_DSM_20098_mantr,0,0,1.2502,0,0
Bifidobacterium_angulatum_DSM_20098_melib,0,0,1.2502,0,0
Butyricicoccus_pullicaecorum_1_2_ac,0,0,0.4336,0,0
Butyricicoccus_pullicaecorum_1_2_gal,0,0,0.00033479,0,0
Catenibacterium_mitsuokai_DSM_15897_ac,0,0,14.3944,0,0
Catenibacterium_mitsuokai_DSM_15897_gal,0,0,10.1895,0,0
Catenibacterium_mitsuokai_DSM_15897_mantr,0,0,2.5543,0,0
Catenibacterium_mitsuokai_DSM_15897_melib,0,0,2.6543,0,0
Clostridium_asparagiforme_DSM_15981_ac,0,0,0.5412,0.82864,0
Clostridium_asparagiforme_DSM_15981_gal,0,0,0.54128,0.82876,0
Clostridium_asparagiforme_DSM_15981_mantr,0,0,0.27064,0.41438,0
Clostridium_leptum_DSM_753_ac,0,0,1.5679,18.4182,0
Clostridium_methylpentosum_R2_DSM_5476_ac,0,0,0.46456,0.76668,0
Clostridium_scindens_ATCC_35704_ac,0,0,0.41452,0,0
Clostridium_scindens_ATCC_35704_gal,0,0,0.41452,0,0
Clostridium_sporosphaeroides_DSM_1294_ac,0,0,0.44892,0,0
Clostridium_sporosphaeroides_DSM_1294_but,0,0,0.44892,0,0
Clostridium_symbiosum_WAL_14163_ac,0,0,0.53412,1.066,0
Clostridium_symbiosum_WAL_14673_ac,0,0,0.45312,0.58584,0
Coprococcus_eutactus_ATCC_27759_ac,0,0,2.9943,0.49724,0
Coprococcus_eutactus_ATCC_27759_but,0,0,2.9943,0.49724,0
Coprococcus_eutactus_ATCC_27759_gal,0,0,2.8407,0.47478,0
Coprococcus_eutactus_ATCC_27759_mantr,0,0,2.5543,0.49281,0
Coprococcus_eutactus_ATCC_27759_melib,0,0,1.6289,0.27225,0
Dialister_succinatiphilus_YIT_11850_ac,0,0,1.3125,0,0.78638
Gordonibacter_pamelaeae_7_10_1_bT_DSM_19378_ac,0,0,0.40004,0.44196,0
Holdemania_filiformis_VPI_J1_31B_1_DSM_12042_ac,0,0,1.1368,0.9806,0.62704
Marvinbryantia_formatexigens_I_52_DSM_14469_ac,0,0,0.47048,0.56556,0
Marvinbryantia_formatexigens_I_52_DSM_14469_gal,0,0,0.36319,0.43658,0
Marvinbryantia_formatexigens_I_52_DSM_14469_mantr,0,0,0.13381,0.16085,0
Parabacteroides_merdae_ATCC_43184_ac,0,0,0.49224,1.1401,0
Parabacteroides_merdae_ATCC_43184_acmana,0,0,0.1,0.1,0
Parabacteroides_merdae_ATCC_43184_gal,0,0,0.49224,1.1401,0
Parabacteroides_merdae_ATCC_43184_mantr,0,0,0.24612,0.57006,0
Parabacteroides_merdae_ATCC_43184_melib,0,0,0.49224,1.1401,0
Paraprevotella_clara_YIT_11840_ac,0,0,3.0371,0,0
Paraprevotella_clara_YIT_11840_gal,0,0,3.0371,0,0
Paraprevotella_xylaniphila_YIT_11841_ac,0,0,0.70712,0,0
Paraprevotella_xylaniphila_YIT_11841_gal,0,0,0.70712,0,0
Prevotella_copri_CB7_DSM_18205_ac,0,0,1.0282,1.9422,0
Prevotella_copri_CB7_DSM_18205_mantr,0,0,0.5141,0.94064,0
Propionibacterium_jensenii_DSM_20535_ac,0,0,1.0312,0,0
Propionibacterium_jensenii_DSM_20535_gal,0,0,1.0312,0,0
Propionibacterium_jensenii_DSM_20535_melib,0,0,1.0312,0,0
Propionibacterium_jensenii_DSM_20535_ppa,0,0,1.0312,0,0
Pseudoflavonifractor_capillosus_strain_ATCC_29799_ac,0,0,2.097,2.0696,0.92536
Pseudoflavonifractor_capillosus_strain_ATCC_29799_gal,0,0,1.8492,1.825,0.81598
Pseudomonas_monteilii_NBRC_103158_ac,0,0,0.44036,0,0
Pseudomonas_monteilii_NBRC_103158_but,0,0,0.44036,0,0
Pseudomonas_monteilii_NBRC_103158_isobut,0,0,0.44036,0,0
Pseudomonas_monteilii_NBRC_103158_ppa,0,0,0.44036,0,0
Ruminococcus_bicirculans_80_3_ac,0,0,12.986,1.2199,0.47364
Ruminococcus_bicirculans_80_3_gal,0,0,0.010027,0.00094191,0.0003657
Ruminococcus_bicirculans_80_3_mantr,0,0,0.0050133,0.00047095,0.00018285
Ruminococcus_torques_ATCC_27756_ac,0,0,0.43976,0,0
Ruminococcus_torques_ATCC_27756_gal,0,0,0.43976,0,0
Ruminococcus_torques_ATCC_27756_mantr,0,0,0.21988,0,0
Blautia_hydrogenotrophica_DSM_10507_ac,0,0,0,0.8474,0
Blautia_hydrogenotrophica_DSM_10507_gal,0,0,0,0.8474,0
Citrobacter_koseri_ATCC_BAA_895_ac,0,0,0,2.9218,0
Citrobacter_koseri_ATCC_BAA_895_but,0,0,0,2.9218,0
Citrobacter_koseri_ATCC_BAA_895_gal,0,0,0,2.9218,0
Citrobacter_koseri_ATCC_BAA_895_ppa,0,0,0,2.9218,0
Desulfovibrio_piger_ATCC_29098_ac,0,0,0,0.5368,0
Enterobacter_hormaechei_YT2_ac,0,0,0,0.60888,17.1028
Enterobacter_hormaechei_YT2_gal,0,0,0,0.60888,10.2054
Enterobacter_hormaechei_YT2_melib,0,0,0,0.60888,2.6543
Eubacterium_dolichum_DSM_3991_ac,0,0,0,1.3554,0
Roseomonas_mucosa_ATCC_BAA_692_ac,0,0,0,0.61744,17.2636
Roseomonas_mucosa_ATCC_BAA_692_melib,0,0,0,0.52211,2.6543
Citrobacter_freundii_ATCC_8090_ac,0,0,0,0,0.42764
Citrobacter_freundii_ATCC_8090_but,0,0,0,0,0.42764
Citrobacter_freundii_ATCC_8090_gal,0,0,0,0,0.42764
Citrobacter_freundii_ATCC_8090_melib,0,0,0,0,0.42764
Citrobacter_freundii_ATCC_8090_ppa,0,0,0,0,0.42764
Citrobacter_sp_30_2_ac,0,0,0,0,0.71076
Citrobacter_sp_30_2_but,0,0,0,0,0.71076
Citrobacter_sp_30_2_gal,0,0,0,0,0.71076
Citrobacter_sp_30_2_mantr,0,0,0,0,0.71076
Citrobacter_sp_30_2_melib,0,0,0,0,0.71076
Citrobacter_sp_30_2_ppa,0,0,0,0,0.71076
Citrobacter_youngae_ATCC_29220_ac,0,0,0,0,0.56924
Citrobacter_youngae_ATCC_29220_but,0,0,0,0,0.56924
Citrobacter_youngae_ATCC_29220_gal,0,0,0,0,0.56924
Citrobacter_youngae_ATCC_29220_mantr,0,0,0,0,0.56924
Citrobacter_youngae_ATCC_29220_melib,0,0,0,0,0.56924
Citrobacter_youngae_ATCC_29220_ppa,0,0,0,0,0.56924
Clostridium_symbiosum_ATCC_14940_ac,0,0,0,0,0.84524
Clostridium_symbiosum_ATCC_14940_gal,0,0,0,0,0.84524
Eggerthella_lenta_DSM_2243_ac,0,0,0,0,0.67572
Enterobacter_aerogenes_KCTC_2190_ac,0,0,0,0,1.5134
Enterobacter_aerogenes_KCTC_2190_gal,0,0,0,0,1.5134
Enterobacter_aerogenes_KCTC_2190_melib,0,0,0,0,1.5134
Enterobacter_cancerogenus_ATCC_35316_ac,0,0,0,0,1.1446
Enterobacter_cancerogenus_ATCC_35316_gal,0,0,0,0,1.1446
Enterobacter_cancerogenus_ATCC_35316_melib,0,0,0,0,1.1446
Enterobacter_cloacae_EcWSU1_ac,0,0,0,0,0.83476
Enterobacter_cloacae_EcWSU1_gal,0,0,0,0,0.83476
Enterobacter_cloacae_EcWSU1_melib,0,0,0,0,0.83476
Mitsuokella_multacida_DSM_20544_ac,0,0,0,0,0.7928
Mitsuokella_multacida_DSM_20544_gal,0,0,0,0,0.7928
Mitsuokella_multacida_DSM_20544_mantr,0,0,0,0,0.56474
Mitsuokella_multacida_DSM_20544_melib,0,0,0,0,0.7928
Salmonella_enterica_enterica_sv_Typhimurium_LT2_ac,0,0,0,0,0.51952
Salmonella_enterica_enterica_sv_Typhimurium_LT2_but,0,0,0,0,0.51952
Salmonella_enterica_enterica_sv_Typhimurium_LT2_gal,0,0,0,0,0.51952
Salmonella_enterica_enterica_sv_Typhimurium_LT2_mantr,0,0,0,0,0.51952
Salmonella_enterica_enterica_sv_Typhimurium_LT2_melib,0,0,0,0,0.51952
Salmonella_enterica_enterica_sv_Typhimurium_LT2_ppa,0,0,0,0,0.51952
